subject,scan,n_blinks,mean_blink_dur,median_blink_dur,n_microsleeps
134627,REST1,222,2309.7972972972975,402.0,67
134627,REST4,557,417.24775583482943,170.0,30
134627,MOV1,320,1320.221875,172.5,44
134627,MOV2,398,497.52261306532665,123.0,22
134627,MOV3,491,278.89205702647655,145.0,12
134627,MOV4,640,197.4015625,130.0,14
966975,REST1,391,1698.3580562659847,141.0,87
966975,REST4,1123,498.39447907390917,61.0,98
966975,MOV1,499,306.5751503006012,51.0,29
966975,MOV2,995,270.93467336683415,73.0,47
966975,MOV3,692,225.29768786127167,67.0,24
966975,MOV4,597,183.4891122278057,43.0,23
187345,REST1,34,31891.0,1408.0,18
187345,REST4,1060,376.9650943396226,201.0,37
187345,MOV1,1365,347.88864468864466,213.0,72
187345,MOV2,1142,181.4859894921191,161.0,12
187345,MOV3,512,1069.724609375,212.0,49
187345,MOV4,348,2219.919540229885,209.0,42
182436,REST1,515,406.852427184466,237.0,47
182436,REST4,352,412.65909090909093,197.5,33
182436,MOV1,447,354.9776286353468,286.0,19
182436,MOV2,591,251.06091370558374,252.0,7
182436,MOV3,377,419.16710875331563,211.0,20
182436,MOV4,441,251.11337868480726,219.0,6
172130,REST1,158,401.8481012658228,200.5,11
172130,REST4,318,1439.446540880503,309.5,53
172130,MOV1,955,602.0460732984293,107.0,152
172130,MOV2,94,904.468085106383,191.5,14
172130,MOV3,230,1006.0956521739131,183.5,20
172130,MOV4,232,1111.728448275862,186.0,24
617748,REST1,54,230.9814814814815,238.0,0
617748,REST4,68,158.60294117647058,108.0,0
617748,MOV1,173,395.3468208092485,268.0,5
617748,MOV2,152,422.32894736842104,233.0,3
617748,MOV3,128,219.046875,52.0,6
617748,MOV4,276,216.22101449275362,136.5,13
771354,REST1,1827,155.8680897646415,48.0,31
771354,REST4,627,243.50877192982455,216.0,2
771354,MOV1,1841,236.44866920152091,107.0,63
771354,MOV2,1256,425.73964968152865,244.5,74
771354,MOV3,1050,175.62,156.0,1
771354,MOV4,1150,144.7608695652174,139.5,0
146937,REST1,5,161.8,185.0,0
146937,REST4,351,208.41595441595442,195.0,0
146937,MOV1,547,572.4003656307129,228.0,40
146937,MOV2,1,159280.0,159280.0,1
146937,MOV3,467,628.5995717344754,216.0,37
146937,MOV4,796,947.0854271356784,68.5,150
320826,REST1,1,1075046.0,1075046.0,1
320826,REST4,1,1084226.0,1084226.0,1
320826,MOV1,1,1013710.0,1013710.0,1
320826,MOV2,1,1003553.0,1003553.0,1
320826,MOV3,1,995241.0,995241.0,1
320826,MOV4,1,982107.0,982107.0,1
958976,REST1,1367,423.7893196781273,39.0,114
958976,REST4,221,292.29864253393663,220.0,6
958976,MOV1,1302,209.27726574500767,65.0,36
958976,MOV2,1562,182.21830985915494,22.0,69
958976,MOV3,281,713.6405693950178,221.0,39
958976,MOV4,423,333.6666666666667,153.0,32
381038,REST1,578,199.69896193771626,69.5,14
381038,REST4,294,185.65986394557822,177.0,2
381038,MOV1,674,235.27151335311572,50.0,31
381038,MOV2,1071,178.17553688141925,38.0,32
381038,MOV3,350,263.54,209.0,10
381038,MOV4,381,363.005249343832,193.0,23
192641,REST1,429,401.6340326340326,314.0,15
192641,REST4,472,315.1398305084746,299.0,1
192641,MOV1,452,418.2699115044248,323.5,19
