order,duration,onset,object_id,face_locations
,0.5,75.5,0,"(113, 815, 164, 763)"
,0.5,122.0,0,"(40, 810, 502, 348)"
,0.5,235.0,0,"(81, 597, 236, 442)"
,0.5,243.5,0,"(201, 854, 468, 587)"
,0.5,244.0,0,"(201, 854, 468, 587)"
,0.5,244.5,0,"(201, 854, 468, 587)"
,0.5,245.0,0,"(201, 854, 468, 587)"
,0.5,245.5,0,"(201, 854, 468, 587)"
,0.5,246.0,0,"(201, 854, 468, 587)"
,0.5,246.5,0,"(201, 854, 468, 587)"
,0.5,247.0,0,"(142, 765, 409, 498)"
,0.5,261.5,0,"(247, 903, 355, 796)"
,0.5,262.0,0,"(239, 898, 368, 769)"
,0.5,262.5,0,"(225, 798, 354, 669)"
,0.5,263.0,0,"(184, 700, 339, 545)"
,0.5,263.5,0,"(202, 666, 356, 511)"
,0.5,264.0,0,"(202, 666, 356, 511)"
,0.5,264.5,0,"(150, 734, 305, 580)"
,0.5,268.5,0,"(118, 799, 304, 613)"
,0.5,269.0,0,"(167, 752, 322, 597)"
,0.5,269.5,0,"(160, 675, 345, 489)"
,0.5,270.0,0,"(225, 683, 354, 554)"
,0.5,271.0,0,"(268, 927, 397, 798)"
,0.5,280.0,0,"(118, 448, 304, 262)"
,0.5,280.5,0,"(98, 448, 284, 262)"
,0.5,284.5,0,"(119, 1024, 504, 718)"
,0.5,285.0,0,"(92, 1016, 554, 553)"
,0.5,285.5,0,"(92, 1016, 554, 553)"
,0.5,286.0,0,"(92, 1016, 554, 553)"
,0.5,286.5,0,"(150, 494, 305, 339)"
,0.5,287.0,0,"(150, 494, 305, 339)"
,0.5,287.5,0,"(150, 494, 305, 339)"
,0.5,288.5,0,"(167, 494, 322, 339)"
,0.5,289.0,0,"(167, 476, 322, 322)"
,0.5,298.0,0,"(162, 589, 547, 204)"
,0.5,298.5,0,"(162, 589, 547, 204)"
,0.5,299.0,0,"(143, 656, 605, 194)"
,0.5,299.5,0,"(143, 707, 605, 245)"
,0.5,300.0,0,"(162, 675, 547, 290)"
,0.5,301.5,0,"(170, 705, 491, 384)"
,0.5,302.5,0,"(99, 455, 420, 134)"
,0.5,305.0,0,"(254, 698, 383, 569)"
,0.5,305.5,0,"(225, 726, 354, 597)"
,0.5,306.0,0,"(211, 784, 340, 655)"
,0.5,306.5,0,"(167, 734, 322, 580)"
,0.5,307.0,0,"(150, 614, 305, 459)"
,0.5,307.0,1,"(415, 489, 638, 266)"
,0.5,316.0,0,"(118, 761, 341, 538)"
,0.5,322.0,0,"(170, 455, 491, 134)"
,0.5,353.0,0,"(201, 587, 468, 319)"
,0.5,355.5,0,"(63, 812, 384, 491)"
,0.5,356.5,0,"(142, 795, 409, 527)"
,0.5,380.5,0,"(76, 589, 461, 204)"
,0.5,385.0,0,"(139, 397, 268, 268)"
,0.5,385.5,0,"(167, 494, 322, 339)"
,0.5,386.0,0,"(160, 737, 345, 551)"
,0.5,386.5,0,"(118, 935, 341, 712)"
,0.5,387.0,0,"(142, 835, 365, 613)"
,0.5,387.5,0,"(142, 811, 365, 588)"
,0.5,388.0,0,"(167, 885, 390, 662)"
,0.5,388.5,0,"(167, 811, 390, 588)"
,0.5,389.0,0,"(192, 761, 415, 538)"
,0.5,389.5,0,"(67, 454, 196, 325)"
,0.5,390.0,0,"(80, 581, 187, 474)"
,0.5,390.5,0,"(96, 683, 225, 554)"
,0.5,391.5,0,"(47, 752, 202, 597)"
,0.5,392.0,0,"(64, 717, 219, 562)"
,0.5,394.0,0,"(119, 1017, 504, 632)"
,0.5,394.5,0,"(119, 974, 504, 589)"
,0.5,395.0,0,"(119, 932, 504, 546)"
,0.5,395.5,0,"(119, 932, 504, 546)"
,0.5,396.0,0,"(119, 932, 504, 546)"
,0.5,396.5,0,"(119, 932, 504, 546)"
,0.5,397.0,0,"(119, 932, 504, 546)"
,0.5,397.5,0,"(119, 974, 504, 589)"
,0.5,399.0,0,"(119, 290, 504, 0)"
,0.5,399.5,0,"(119, 290, 504, 0)"
,0.5,400.0,0,"(119, 932, 504, 546)"
,0.5,400.5,0,"(119, 932, 504, 546)"
,0.5,401.0,0,"(119, 889, 504, 504)"
,0.5,401.5,0,"(119, 889, 504, 504)"
,0.5,402.0,0,"(92, 502, 554, 40)"
,0.5,402.5,0,"(92, 502, 554, 40)"
,0.5,403.0,0,"(92, 502, 554, 40)"
,0.5,452.0,0,"(118, 737, 304, 551)"
,0.5,452.5,0,"(98, 758, 284, 572)"
,0.5,453.0,0,"(118, 778, 304, 593)"
,0.5,453.5,0,"(98, 778, 284, 593)"
,0.5,454.0,0,"(160, 778, 345, 593)"
,0.5,454.5,0,"(98, 799, 284, 613)"
,0.5,455.0,0,"(98, 799, 284, 613)"
,0.5,455.5,0,"(98, 778, 284, 593)"
,0.5,456.0,0,"(118, 778, 304, 593)"
,0.5,456.5,0,"(116, 769, 270, 614)"
,0.5,457.0,0,"(118, 778, 304, 593)"
,0.5,457.5,0,"(139, 799, 325, 613)"
,0.5,474.5,0,"(98, 778, 284, 593)"
,0.5,474.5,1,"(17, 942, 106, 852)"
,0.5,475.0,0,"(118, 778, 304, 593)"
,0.5,475.5,0,"(98, 778, 284, 593)"
,0.5,476.0,0,"(118, 778, 304, 593)"
,0.5,476.0,1,"(17, 942, 106, 852)"
,0.5,477.0,0,"(94, 409, 130, 373)"
,0.5,477.5,0,"(90, 465, 126, 429)"
,0.5,498.0,0,"(98, 799, 284, 613)"
,0.5,498.5,0,"(139, 778, 325, 593)"
,0.5,499.0,0,"(118, 835, 341, 613)"
,0.5,513.5,0,"(112, 765, 379, 498)"
,0.5,514.0,0,"(112, 765, 379, 498)"
,0.5,514.5,0,"(112, 765, 379, 498)"
,0.5,515.0,0,"(142, 765, 409, 498)"
,0.5,515.5,0,"(142, 765, 409, 498)"
,0.5,520.0,0,"(139, 799, 325, 613)"
,0.5,520.5,0,"(139, 778, 325, 593)"
,0.5,523.5,0,"(118, 778, 304, 593)"
,0.5,524.0,0,"(139, 799, 325, 613)"
,0.5,524.5,0,"(139, 799, 325, 613)"
,0.5,529.5,0,"(139, 778, 325, 593)"
,0.5,530.0,0,"(139, 778, 325, 593)"
,0.5,530.5,0,"(139, 778, 325, 593)"
,0.5,531.0,0,"(139, 778, 325, 593)"
,0.5,531.5,0,"(139, 778, 325, 593)"
,0.5,532.0,0,"(98, 572, 284, 386)"
,0.5,532.5,0,"(139, 572, 325, 386)"
,0.5,533.0,0,"(139, 551, 325, 366)"
,0.5,533.5,0,"(167, 494, 322, 339)"
,0.5,534.0,0,"(167, 511, 322, 356)"
,0.5,534.5,0,"(168, 497, 297, 368)"
,0.5,535.0,0,"(167, 459, 322, 304)"
,0.5,535.5,0,"(153, 182, 282, 53)"
,0.5,553.5,0,"(93, 687, 316, 464)"
,0.5,554.0,0,"(118, 655, 304, 469)"
,0.5,554.5,0,"(139, 634, 325, 448)"
,0.5,555.0,0,"(201, 696, 387, 510)"
,0.5,555.5,0,"(201, 758, 387, 572)"
,0.5,556.0,0,"(202, 700, 356, 545)"
,0.5,556.5,0,"(202, 648, 356, 494)"
,0.5,557.0,0,"(118, 778, 304, 593)"
,0.5,557.5,0,"(118, 778, 304, 593)"
,0.5,558.0,0,"(118, 778, 304, 593)"
,0.5,558.5,0,"(68, 860, 291, 637)"
,0.5,559.0,0,"(43, 835, 266, 613)"
,0.5,559.5,0,"(98, 778, 284, 593)"
,0.5,560.0,0,"(98, 799, 284, 613)"
,0.5,560.5,0,"(68, 935, 291, 712)"
,0.5,589.5,0,"(136, 822, 226, 733)"
,0.5,589.5,1,"(378, 419, 453, 345)"
,0.5,590.0,0,"(116, 733, 206, 643)"
,0.5,590.0,1,"(378, 378, 453, 303)"
,0.5,590.5,0,"(378, 370, 453, 295)"
,0.5,590.5,1,"(126, 713, 216, 623)"
,0.5,591.0,0,"(387, 378, 461, 303)"
,0.5,591.5,0,"(387, 395, 461, 320)"
,0.5,597.5,0,"(118, 799, 304, 613)"
,0.5,598.0,0,"(98, 799, 284, 613)"
,0.5,598.5,0,"(118, 799, 304, 613)"
,0.5,599.0,0,"(118, 799, 304, 613)"
,0.5,603.0,0,"(223, 342, 331, 235)"
,0.5,605.5,0,"(152, 450, 259, 342)"
,0.5,606.0,0,"(116, 497, 223, 390)"
,0.5,606.0,1,"(67, 913, 196, 784)"
,0.5,606.5,0,"(92, 629, 199, 521)"
,0.5,606.5,1,"(130, 129, 204, 55)"
,0.5,607.0,0,"(121, 287, 196, 212)"
,0.5,607.0,1,"(67, 784, 196, 655)"
,0.5,607.5,0,"(113, 386, 188, 312)"
,0.5,607.5,1,"(67, 884, 196, 755)"
,0.5,608.0,0,"(121, 502, 196, 428)"
,0.5,608.0,1,"(80, 963, 187, 856)"
,0.5,608.5,0,"(142, 612, 205, 550)"
,0.5,609.0,0,"(149, 716, 211, 653)"
,0.5,609.5,0,"(129, 764, 191, 702)"
,0.5,610.0,0,"(135, 764, 198, 702)"
,0.5,612.0,0,"(118, 489, 304, 304)"
,0.5,612.5,0,"(57, 510, 242, 324)"
,0.5,613.0,0,"(98, 778, 284, 593)"
,0.5,613.5,0,"(98, 778, 284, 593)"
,0.5,614.0,0,"(118, 778, 304, 593)"
,0.5,614.5,0,"(118, 778, 304, 593)"
,0.5,615.0,0,"(118, 778, 304, 593)"
,0.5,615.5,0,"(118, 778, 304, 593)"
,0.5,616.0,0,"(118, 778, 304, 593)"
,0.5,745.5,0,"(442, 829, 478, 793)"
,0.5,864.0,0,"(247, 375, 632, 0)"
,0.5,875.0,0,"(52, 617, 320, 349)"
,0.5,875.5,0,"(112, 527, 379, 260)"
,0.5,876.0,0,"(112, 409, 379, 141)"
,0.5,876.5,0,"(99, 491, 420, 170)"
,0.5,881.0,0,"(428, 696, 614, 510)"
,0.5,888.0,0,"(50, 741, 94, 698)"
,0.5,888.0,1,"(20, 913, 72, 861)"
,0.5,888.0,2,"(107, 440, 159, 389)"
,0.5,888.0,3,"(46, 221, 82, 185)"
,0.5,888.0,4,"(179, 585, 254, 511)"
,0.5,888.5,0,"(12, 900, 55, 856)"
,0.5,888.5,1,"(31, 736, 74, 693)"
,0.5,888.5,2,"(87, 467, 149, 405)"
,0.5,889.0,0,"(15, 907, 67, 855)"
,0.5,889.0,1,"(31, 727, 74, 684)"
,0.5,889.0,2,"(147, 250, 199, 199)"
,0.5,889.0,3,"(155, 602, 229, 527)"
,0.5,892.5,0,"(402, 927, 510, 820)"
,0.5,892.5,1,"(378, 247, 486, 139)"
