order,duration,onset,object_id,face_locations
,0.5,45.5,0,"(334, 809, 370, 773)"
,0.5,62.5,0,"(322, 562, 477, 408)"
,0.5,63.5,0,"(354, 57, 390, 21)"
,0.5,75.5,0,"(266, 736, 489, 513)"
,0.5,76.0,0,"(231, 765, 498, 498)"
,0.5,76.5,0,"(231, 765, 498, 498)"
,0.5,77.0,0,"(206, 812, 527, 491)"
,0.5,77.5,0,"(206, 812, 527, 491)"
,0.5,78.0,0,"(260, 765, 528, 498)"
,0.5,78.5,0,"(291, 736, 514, 513)"
,0.5,79.0,0,"(231, 676, 498, 409)"
,0.5,79.5,0,"(171, 617, 439, 349)"
,0.5,94.0,0,"(270, 872, 425, 717)"
,0.5,94.5,0,"(270, 872, 425, 717)"
,0.5,97.5,0,"(139, 296, 268, 167)"
,0.5,98.5,0,"(223, 712, 331, 605)"
,0.5,100.5,0,"(211, 282, 340, 153)"
,0.5,102.5,0,"(201, 407, 387, 221)"
,0.5,105.5,0,"(163, 342, 271, 235)"
,0.5,106.0,0,"(345, 944, 531, 758)"
,0.5,106.0,1,"(168, 339, 297, 210)"
,0.5,106.0,2,"(163, 736, 271, 629)"
,0.5,106.5,0,"(163, 736, 271, 629)"
,0.5,106.5,1,"(199, 330, 307, 223)"
,0.5,107.0,0,"(168, 755, 297, 626)"
,0.5,107.5,0,"(168, 755, 297, 626)"
,0.5,108.0,0,"(182, 769, 311, 640)"
,0.5,108.5,0,"(225, 225, 354, 96)"
,0.5,110.0,0,"(184, 236, 339, 81)"
,0.5,110.0,1,"(225, 841, 354, 712)"
,0.5,110.5,0,"(236, 167, 391, 12)"
,0.5,111.0,0,"(253, 201, 408, 46)"
,0.5,111.5,0,"(201, 345, 387, 159)"
,0.5,115.0,0,"(242, 861, 428, 675)"
,0.5,115.5,0,"(242, 861, 428, 675)"
,0.5,115.5,1,"(201, 304, 387, 118)"
,0.5,116.0,0,"(242, 861, 428, 675)"
,0.5,116.0,1,"(222, 262, 407, 77)"
,0.5,116.5,0,"(242, 242, 428, 56)"
,0.5,116.5,1,"(242, 902, 428, 716)"
,0.5,117.0,0,"(263, 923, 449, 737)"
,0.5,117.5,0,"(263, 902, 449, 716)"
,0.5,118.0,0,"(263, 902, 449, 716)"
,0.5,118.0,1,"(201, 324, 387, 139)"
,0.5,118.5,0,"(263, 902, 449, 716)"
,0.5,119.0,0,"(270, 855, 425, 700)"
,0.5,119.5,0,"(270, 855, 425, 700)"
,0.5,120.5,0,"(201, 304, 387, 118)"
,0.5,120.5,1,"(242, 861, 428, 675)"
,0.5,121.0,0,"(201, 324, 387, 139)"
,0.5,121.0,1,"(270, 855, 425, 700)"
,0.5,121.5,0,"(201, 324, 387, 139)"
,0.5,122.5,0,"(270, 889, 425, 734)"
,0.5,123.0,0,"(263, 923, 449, 737)"
,0.5,124.0,0,"(288, 906, 442, 752)"
,0.5,124.5,0,"(263, 902, 449, 716)"
,0.5,125.0,0,"(263, 902, 449, 716)"
,0.5,125.5,0,"(236, 270, 391, 115)"
,0.5,125.5,1,"(270, 906, 425, 752)"
,0.5,126.5,0,"(196, 524, 285, 434)"
,0.5,127.0,0,"(188, 461, 262, 386)"
,0.5,136.5,0,"(150, 356, 305, 201)"
,0.5,137.0,0,"(160, 448, 345, 262)"
